Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
27	7485.5015	340.31857	8069.5415	7006.9272	7659.9634	128.58118	7802.8765	7343.796	1000.0	1000.0	135000	425.78333	132.29486	615.2664	-57.460587	425.78278	132.29573	616.08093	-59.012615	425.57172	131.3052	608.80066	-63.639297	4.121335	4.4624157	55.760754	-12.451917	-427.23	8.858461	8.9269905	11.073534	1847.4261903762817
28	6365.953	913.7903	7395.4165	5046.709	8379.371	254.43141	8636.835	7751.88	1000.0	1000.0	140000	433.30493	134.25206	621.7109	-88.05357	433.3038	134.2564	622.4578	-66.82256	433.00897	133.23305	617.2263	-55.913723	4.2784066	4.798595	84.74957	-13.14513	-434.7221	11.480382	11.393507	13.9740715	1915.341335773468
29	7154.5376	1123.3268	8334.051	5057.015	7351.831	930.61145	7868.4062	4609.359	1000.0	1000.0	145000	438.88425	138.05391	629.5033	-106.524796	438.88397	138.0577	628.7011	-65.52188	438.58685	137.03217	624.8629	-55.58575	4.3602934	4.6006026	80.29249	-13.011794	-440.313	12.270605	11.981556	14.1902685	1986.2769894599915
30	7632.572	198.76343	7856.6265	7375.9956	7328.7236	993.0059	8070.977	4438.392	1000.0	1000.0	150000	446.88663	139.17262	641.55963	-59.763973	446.88617	139.17601	644.5562	-64.817635	446.5646	138.1377	642.9893	-61.897953	4.419336	4.591723	59.55941	-14.2386875	-448.3353	11.929059	11.970622	14.214046	2054.3691234588623
31	7363.995	514.2996	7872.7427	6501.878	3941.6472	1275.4795	5519.314	1321.0312	1000.0	1000.0	155000	454.339	139.35002	653.26416	-61.8017	454.33725	139.35414	652.74146	-67.18855	453.9661	138.30484	647.5288	-60.302906	4.524225	4.5852933	61.431778	-16.936623	-455.7722	12.27975	12.5765705	14.681963	2123.7325789928436
32	6152.55	2697.4316	7955.4126	800.8787	8771.096	112.405396	8941.318	8566.544	1000.0	1000.0	160000	458.42813	142.85533	656.86456	-68.923485	458.42776	142.85812	656.99304	-76.85719	458.08438	141.82646	655.7753	-55.851032	4.544749	4.6285734	64.22746	-13.73273	-459.8896	12.623624	12.601814	14.5174465	2193.4846131801605
33	7920.8374	755.4268	8891.704	6653.0796	9007.748	179.19229	9294.164	8624.321	1000.0	1000.0	165000	466.3869	142.54556	663.01434	-94.50356	466.386	142.54626	663.4348	-82.318504	465.9855	141.49478	659.94934	-86.505775	4.5607796	4.597333	64.36643	-14.3090315	-467.7925	13.056086	13.336342	15.143645	2261.551632165909
34	7985.193	366.74542	8387.902	7414.701	8022.548	107.94256	8178.3457	7790.964	1000.0	1000.0	170000	473.76904	143.06282	671.25903	-130.66406	473.7686	143.0702	668.5638	-120.42309	473.3338	142.02315	667.21387	-108.45046	4.5890574	4.573088	57.5745	-12.5275955	-475.1136	13.078586	12.582009	14.696071	2329.966548204422
35	7826.745	354.38174	8338.423	7360.659	8714.716	249.96616	9002.123	8083.289	1000.0	1000.0	175000	479.88263	143.58003	675.8748	-130.14822	479.88123	143.5831	674.44794	-154.02942	479.4198	142.50565	670.9667	-106.30199	4.638414	4.6173606	56.959087	-16.29013	-481.2309	12.806044	13.032448	14.834953	2400.73295879364
36	6603.2603	3022.3445	8385.726	580.8587	5674.088	2505.0337	8530.353	2117.991	1000.0	1000.0	180000	485.27106	144.93025	678.7845	-71.319145	485.27112	144.9347	677.2782	-74.61032	484.77975	143.87857	678.7395	-60.04949	4.6305175	4.5748024	60.93593	-13.954419	-486.6015	12.797281	12.293943	14.600603	2471.369568347931
