Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
35	-147.71951	58.15371	-79.532715	-311.7173	-102.50777	15.736359	-72.1742	-126.81125	100.0	100.0	175000	-101.159454	22.840126	91.77476	-221.27412	-101.15984	22.860128	74.21362	-220.16118	-101.27684	21.833729	45.447987	-206.69295	4.0538516	6.3986845	58.93973	-14.441465	94.376114	21.718054	21.297585	15.541148	2096.0963389873505
36	-156.37527	66.43392	-69.69793	-337.4889	-77.13047	23.01521	-49.584564	-122.87607	100.0	100.0	180000	-101.84663	22.35013	85.668625	-212.58328	-101.84783	22.368748	92.797844	-208.50824	-102.01514	21.318026	28.029114	-195.88115	4.0602527	6.3070097	57.93403	-14.882599	95.05165	23.657757	22.983797	16.011389	2154.7781348228455
37	-134.29938	43.92152	-63.789806	-269.27255	-88.22456	15.988549	-67.857155	-117.65785	100.0	100.0	185000	-102.6096	22.742271	96.42989	-210.28694	-102.609406	22.765903	86.59816	-211.8333	-102.76096	21.715307	46.060722	-207.73973	3.9782522	6.417954	54.358875	-15.486439	95.77222	22.872784	22.389	15.835619	2216.747588157654
38	-153.24335	70.68502	-50.406666	-369.06992	-166.12639	44.2881	-78.214325	-205.30182	100.0	100.0	190000	-102.62425	23.2505	97.82443	-211.19038	-102.62471	23.27948	77.968796	-217.1368	-102.80162	22.25908	78.353485	-209.36377	4.049279	6.4264584	55.084213	-14.714421	95.88599	23.764925	23.004932	15.649844	2281.5039491653442
39	-184.83258	72.31462	-73.08366	-370.258	-99.09332	43.407322	-51.739594	-163.7079	100.0	100.0	195000	-101.81966	23.307024	112.128235	-217.88261	-101.82064	23.33673	107.18206	-219.65076	-101.93941	22.310915	106.20591	-202.05592	4.1005607	6.38881	60.948643	-15.108208	95.0506	23.537722	22.891134	15.5956	2347.6467497348785
40	-181.63742	59.494736	-72.693245	-335.65082	-110.07152	33.049683	-57.485867	-177.73647	100.0	100.0	200000	-101.16457	22.904453	97.95376	-209.58372	-101.16536	22.925764	101.35196	-220.52109	-101.28949	21.91006	84.04016	-211.17828	4.067923	6.336633	67.60252	-17.017601	94.5524	23.478952	22.69532	15.39935	2416.50292468071
41	-156.69554	51.110737	-51.624687	-261.50122	-134.93932	35.689262	-65.258575	-184.24498	100.0	100.0	205000	-101.260216	22.113527	106.12723	-220.40634	-101.26287	22.133017	86.40207	-218.96745	-101.44003	21.091894	63.20949	-213.02689	3.9798682	6.289907	64.11982	-14.632089	94.91414	23.908031	23.18836	14.998325	2519.7968561649323
42	-150.76198	46.52307	-64.15152	-256.03735	-103.47078	15.402884	-74.60774	-130.95338	100.0	100.0	210000	-102.57111	21.647038	144.35014	-227.72409	-102.572395	21.660255	86.45736	-234.98914	-102.76569	20.637566	51.124557	-221.95102	4.0602927	6.3921375	68.05018	-12.529895	96.050514	25.822157	25.229382	15.2039	2625.429638147354
43	-147.77713	49.457417	-56.507458	-292.89902	-113.05409	28.187971	-86.47578	-176.00774	100.0	100.0	215000	-101.28369	20.988543	88.79483	-232.4941	-101.28568	21.021246	83.89764	-231.63403	-101.375755	19.935404	59.510098	-223.57251	3.934233	6.482593	75.82622	-15.981025	94.9073	25.017029	24.305042	14.920269	2706.2631771564484
44	-153.94157	37.772865	-84.491196	-235.11438	-122.90603	29.44416	-90.18798	-177.93747	100.0	100.0	220000	-100.74044	20.948606	167.06427	-246.9431	-100.74131	20.970171	70.372925	-250.58025	-100.91664	19.946482	54.088615	-245.2668	3.716379	6.484767	62.083626	-15.37802	94.423134	24.9471	24.18876	14.694196	2779.897907972336
