Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
41	-332.47598	83.6696	-186.88187	-496.90698	-386.76413	92.278946	-212.65616	-489.11115	100.0	100.0	205000	-193.05063	48.305714	184.68137	-329.82904	-193.04988	48.35408	171.7742	-325.65234	-194.25931	47.44916	104.932945	-328.64346	9.017176	6.7774444	91.07042	-13.408474	176.45425	106.29067	103.62758	39.763588	2554.730124950409
42	-384.47647	87.94386	-226.42433	-526.54004	-423.44986	84.32478	-324.60464	-555.54724	100.0	100.0	210000	-205.85313	59.129616	241.71031	-372.38226	-205.85156	59.170162	153.32457	-354.16187	-207.1164	58.310005	99.76172	-359.4575	9.295903	6.6546946	92.76851	-11.975018	188.15218	118.9285	116.9728	45.442196	2619.0054590702057
43	-401.12976	95.08025	-221.14128	-640.88336	-448.30557	67.840706	-331.62335	-532.25604	100.0	100.0	215000	-204.4918	59.82156	233.71481	-365.4628	-204.48889	59.87486	212.0348	-374.74353	-205.15895	58.598995	107.16232	-368.39505	9.47863	6.4890575	76.24291	-12.495477	186.38249	114.46624	112.1052	46.24809	2682.8998548984528
44	-397.53394	91.46816	-237.05173	-563.6979	-424.43808	67.352486	-300.68192	-506.10458	100.0	100.0	220000	-201.9335	52.345795	148.15071	-352.79077	-201.93085	52.394386	195.57814	-358.4512	-203.12718	50.84765	96.6861	-346.9302	9.264271	6.590515	80.72627	-12.430296	184.92416	119.99	117.75585	43.251556	2746.752146244049
45	-381.1551	101.72759	-187.21233	-660.5235	-392.13864	83.54803	-251.09392	-501.87674	100.0	100.0	225000	-210.99341	51.84693	216.01839	-370.57333	-210.99242	51.90884	216.84727	-372.9554	-211.66783	50.448143	68.13356	-362.52942	9.486897	6.4297304	74.54855	-10.7931385	193.27072	132.17154	129.09102	48.2924	2811.4212136268616
46	-325.50363	93.1629	-157.05013	-485.24896	-365.14935	74.85408	-222.38353	-462.47015	100.0	100.0	230000	-195.32805	46.616932	296.64423	-360.89816	-195.32669	46.69054	310.44437	-360.43045	-195.145	45.33779	36.57292	-358.20657	9.81275	6.1241317	72.286835	-9.771305	177.8081	127.58635	124.71644	46.53942	2876.634357213974
47	-309.2128	102.854675	-151.91185	-548.1612	-348.4184	82.279366	-227.52484	-498.00464	100.0	100.0	235000	-209.2757	48.691765	204.5344	-362.69772	-209.2755	48.768433	154.28194	-352.4641	-210.294	47.547306	131.09445	-355.90393	9.251477	6.570335	86.84959	-11.706375	192.3935	137.573	133.27983	43.71028	2941.8429901599884
48	-357.6938	84.416885	-193.9577	-550.1953	-397.53818	91.30651	-218.8432	-513.2826	100.0	100.0	240000	-216.80005	54.477596	248.07347	-371.65027	-216.80193	54.499092	155.56956	-368.52344	-218.0484	53.216187	60.754852	-366.48083	9.660312	6.623439	65.70157	-12.462608	199.43288	139.80417	137.57391	45.11216	3006.2029066085815
49	-352.9602	113.320465	-153.38847	-653.0984	-394.7851	85.0086	-244.65948	-504.90656	100.0	100.0	245000	-223.76703	56.61652	289.42847	-376.69696	-223.76918	56.667385	220.82594	-386.51346	-225.19511	55.090633	59.13091	-384.0407	10.113029	6.4588747	101.58148	-12.208195	204.61848	144.4357	140.48817	47.649128	3069.7447850704193
50	-393.39456	103.52046	-174.38644	-643.071	-406.90906	87.69727	-267.46597	-524.0214	100.0	100.0	250000	-221.85716	55.2894	169.36743	-385.84525	-221.85797	55.325375	235.20612	-382.09094	-222.52632	53.956272	142.87001	-377.44952	10.377497	6.633553	77.34241	-15.046476	202.38266	146.69867	144.9264	48.273182	3132.4950037002563
